episode,trainingTime,maxWaitTime,avgWaitTime,maxStopped,avgStopped,avgReward
2,0.0,6659.0,1621.5256588072123,74.0,25.9750346740638,-0.0008183079056865297
3,15.816755533218384,4229.0,1164.4105409153954,69.0,22.828016643550622,-9.708737864076292e-05
4,31.28127098083496,2702.0,431.39251040221916,55.0,14.287101248266296,-0.003190013869625508
5,46.78262686729431,2315.0,380.01803051317614,47.0,13.550624133148405,-0.00047156726768376246
6,62.430654764175415,3170.0,609.8252427184466,53.0,15.325936199722607,-0.0020527045769764113
7,77.80948758125305,1972.0,439.5395284327323,50.0,14.41747572815534,-0.0007905686546463041
8,93.13810539245605,1617.0,350.753120665742,48.0,12.485436893203884,2.0325858425869718e-17
9,109.3158769607544,1666.0,307.9126213592233,34.0,11.50624133148405,-0.0007905686546463078
10,125.98910713195801,3082.0,422.92233009708735,42.0,11.592233009708737,-0.00048543689320386927
11,142.465096950531,2269.0,531.7558945908461,36.0,12.64493758668516,-6.934812760054099e-05
12,157.77141880989075,2503.0,452.5506241331484,39.0,11.490984743411929,-0.0009986130374479744
13,172.82754516601562,920.0,172.35506241331484,27.0,7.463245492371706,-0.00015256588072120816
14,187.912761926651,2748.0,293.17059639389737,31.0,8.21497919556172,8.469107677445715e-18
15,202.99793767929077,11876.0,1711.0665742024964,32.0,11.006934812760056,1.2588173684203405e-17
16,218.43738961219788,4053.0,1185.754507628294,27.0,10.445214979195562,-4.160887656032486e-05
17,233.47125554084778,4831.0,527.5755894590847,35.0,7.658807212205271,6.544310478026235e-18
18,248.25553369522095,2147.0,261.4216366158114,17.0,5.997226074895978,6.4095746740668714e-18
19,263.0226767063141,1370.0,186.35367545076284,21.0,6.0624133148405,-8.32177531206545e-05
20,277.69156408309937,3848.0,376.23162274618585,22.0,5.201109570041609,-2.7739251040219824e-05
21,292.3496286869049,413.0,59.0,16.0,3.765603328710125,-1.386962552010737e-05
22,307.322297334671,1353.0,237.8626907073509,16.0,6.378640776699029,2.5792282472221043e-18
23,322.0756118297577,1292.0,198.1386962552011,18.0,5.768377253814147,5.543415934328105e-18
24,336.8759603500366,682.0,95.6629680998613,22.0,5.065187239944522,-0.00040221914008321536
25,351.75588297843933,491.0,122.85436893203884,26.0,5.965325936199722,-0.0004993065187239865
26,366.69765067100525,2251.0,265.99583911234396,21.0,6.4674063800277395,4.619513278606754e-18
27,381.33682560920715,1822.0,163.5603328710125,21.0,4.8169209431345354,4.176809922740273e-18
28,396.5978693962097,9302.0,1423.976421636616,30.0,11.011095700416089,-2.773925104021343e-05
29,412.08322834968567,2085.0,507.93342579750345,37.0,9.269070735090153,-0.000249653259361994
30,427.5647599697113,8749.0,1515.7822468793343,37.0,12.25381414701803,-0.001248266296809977
31,446.4161195755005,101335.0,35956.927877947295,74.0,41.87101248266297,-1.4037586685159502
32,462.0264792442322,10173.0,1875.2718446601941,32.0,12.87239944521498,-0.006130374479889036
33,478.81065821647644,36727.0,11756.092926490985,46.0,24.381414701803052,-1.3869625520104347e-05
34,494.07275581359863,1343.0,309.90291262135923,25.0,7.640776699029126,-0.000776699029126206
35,510.094824552536,15426.0,3768.768377253814,68.0,17.50346740638003,1.3550572283913145e-17
36,525.2394423484802,11303.0,1647.8127600554785,31.0,10.25242718446602,-0.0005131761442440978
37,540.8248536586761,1273.0,319.57975034674064,29.0,8.754507628294036,1.0624880540795534e-17
38,557.0027899742126,22685.0,6057.97919556172,34.0,14.077669902912621,-0.0006934812760055405
39,573.1050751209259,7051.0,1352.7947295423023,39.0,12.008321775312067,-0.002163661581137302
40,588.6471042633057,3307.0,431.2773925104022,23.0,9.042995839112344,-0.0002496532593619894
41,603.8476548194885,6736.0,886.6407766990292,28.0,8.522884882108183,6.496190548040748e-18
42,619.0747487545013,3690.0,348.2871012482663,25.0,6.819694868238558,-1.386962552010354e-05
43,637.1205050945282,94576.0,15502.95839112344,114.0,37.342579750346744,-1.3112205270457695
44,652.364853143692,1251.0,186.64771151178917,21.0,6.127600554785021,6.024615234182975e-18
45,667.4350624084473,899.0,191.04576976421637,25.0,6.837725381414701,-2.7739251040215088e-05
46,682.6638128757477,978.0,197.50762829403607,24.0,6.421636615811373,-0.00037447988904299384
47,698.2214665412903,1709.0,483.6019417475728,23.0,9.510402219140083,-4.160887656032444e-05
48,713.5127601623535,3618.0,871.4757281553398,25.0,9.461858529819695,8.218884041521183e-18
49,729.0620896816254,9667.0,2845.7031900138695,25.0,11.464632454923716,3.2914032110073123e-18
50,746.4502782821655,45857.0,13384.090152565881,143.0,32.32871012482663,-0.043106796116504836
51,763.7102415561676,7613.0,2665.5339805825242,70.0,23.68099861303745,6.159351038142339e-18
52,779.4319260120392,2317.0,228.09292649098475,27.0,6.378640776699029,-0.0017475728155339754
53,794.9770708084106,1824.0,257.8404993065187,27.0,7.407766990291262,-1.3869625520104078e-05
54,810.8337707519531,5344.0,760.7947295423023,32.0,10.522884882108183,4.00357817479252e-18
55,826.4219591617584,10439.0,1217.4049930651872,39.0,10.579750346740639,6.236342926119118e-18
56,841.6862740516663,1741.0,325.51872399445216,23.0,7.50624133148405,3.3876430709782863e-18
57,857.83198595047,7578.0,1191.3314840499306,61.0,16.46740638002774,-0.0038696255201109415
58,874.3677942752838,6639.0,2026.742024965326,44.0,18.24271844660194,1.7246182906798547e-17
59,890.1349256038666,15689.0,2927.694868238558,30.0,13.364771151178918,5.312440270397767e-18
60,905.6116888523102,12026.0,1728.3938973647712,26.0,9.449375866851595,-0.00018030513176143836
61,921.1057865619659,1811.0,263.1525658807212,24.0,7.253814147018031,7.699188797677923e-18
62,936.568445444107,3235.0,372.7073509015257,35.0,7.972260748959778,-0.000832177531206648
63,952.4470119476318,2137.0,585.2288488210818,31.0,10.800277392510402,1.201073452437756e-17
64,968.3460092544556,2448.0,413.05686546463244,25.0,8.719833564493758,-0.00031900138696254167
65,983.814615726471,1412.0,270.75728155339806,23.0,7.851595006934812,2.1750208353440135e-18
66,999.3259932994843,4351.0,989.2260748959778,36.0,10.380027739251041,-9.708737864076906e-05
67,1014.9293041229248,1774.0,435.85298196948685,21.0,8.041608876560334,8.661587397387664e-19
68,1030.321860074997,2311.0,467.47850208044383,23.0,8.96393897364771,-1.3869625520105406e-05
69,1045.60462641716,2831.0,440.8363384188627,19.0,6.608876560332871,-0.0009431345353675405
70,1061.0060472488403,1613.0,405.994452149792,21.0,8.098474341192787,-1.3869625520105696e-05
71,1076.1568603515625,511.0,107.2371705963939,19.0,5.109570041608877,-6.934812760055367e-05
72,1091.3787021636963,495.0,157.80721220527045,19.0,5.929264909847434,-2.773925104021872e-05
73,1106.4968400001526,776.0,143.6629680998613,23.0,5.762829403606102,-1.3869625520107839e-05
74,1121.7910468578339,1150.0,267.96532593619975,26.0,8.306518723994452,6.765662155959475e-18
75,1136.9262821674347,877.0,162.17198335644937,15.0,5.428571428571429,-2.773925104022142e-05
76,1152.0240399837494,505.0,92.22191400832178,20.0,4.843273231622746,-2.7739251040218778e-05
77,1166.9059388637543,324.0,78.09015256588071,16.0,4.3370319001386965,2.0402850313846495e-18
78,1182.2720911502838,596.0,107.65464632454923,20.0,4.895977808599167,1.5975816755181691e-18
79,1197.524003982544,836.0,149.0,19.0,5.832177531206657,-0.00024965325936199566
80,1212.8229954242706,3482.0,744.2399445214979,26.0,9.438280166435506,3.8495943988389615e-18
