step_time,reward,total_stopped,total_wait_time
25205.0,0.0,0,0.0
25210.0,0.0,2,0.0
25215.0,0.0,1,0.0
25220.0,-0.03,1,4.0
25225.0,-0.05,2,9.0
25230.0,0.08,2,1.0
25235.0,0.0,0,3.0
25240.0,0.0,2,4.0
25245.0,0.0,2,9.0
25250.0,0.0,5,22.0
25255.0,-0.02,3,22.0
25260.0,-0.12000000000000001,6,19.0
25265.0,0.06000000000000001,2,20.0
25270.0,0.08,3,18.0
25275.0,-0.05,7,30.0
25280.0,-0.09999999999999999,9,47.0
25285.0,-0.1,6,60.0
25290.0,-0.12,6,55.0
25295.0,0.06,2,45.0
25300.0,-0.03999999999999998,3,54.0
25305.0,0.35,2,27.0
25310.0,0.0,3,41.0
25315.0,-0.03,8,69.0
25320.0,-0.05,6,86.0
25325.0,-0.06000000000000001,9,117.0
25330.0,0.11000000000000001,5,92.0
25335.0,0.03,2,22.0
25340.0,-0.03,2,22.0
25345.0,0.0,2,29.0
25350.0,-0.05,7,49.0
25355.0,0.06,7,50.0
25360.0,-0.02,9,94.0
25365.0,-0.019999999999999997,6,106.0
25370.0,-0.04000000000000001,10,133.0
25375.0,-0.04999999999999999,8,174.0
25380.0,-0.05000000000000002,8,214.0
25385.0,-0.04999999999999999,9,256.0
25390.0,-0.07,10,287.0
25395.0,-0.14999999999999997,9,311.0
25400.0,-0.15000000000000002,10,362.0
25405.0,0.22999999999999998,10,380.0
25410.0,0.33,4,246.0
25415.0,0.0,3,89.0
25420.0,0.0,2,83.0
25425.0,0.0,5,104.0
25430.0,-0.020000000000000004,6,126.0
25435.0,-0.13,8,80.0
25440.0,0.13,6,74.0
25445.0,-0.08,8,94.0
25450.0,0.1,5,92.0
25455.0,0.06,3,90.0
25460.0,0.0,3,58.0
25465.0,-0.05,4,38.0
25470.0,-0.05,4,34.0
25475.0,0.1,3,34.0
25480.0,-0.04,8,58.0
25485.0,-0.049999999999999996,7,90.0
25490.0,0.06,4,48.0
25495.0,-0.07,8,72.0
25500.0,0.1,3,54.0
25505.0,0.0,6,50.0
25510.0,0.0,2,43.0
25515.0,0.0,1,10.0
25520.0,0.0,0,10.0
25525.0,0.0,3,23.0
25530.0,0.0,1,23.0
25535.0,-0.03,5,44.0
25540.0,0.009999999999999998,5,63.0
25545.0,0.0,5,62.0
25550.0,0.0,4,76.0
25555.0,-0.05,4,52.0
25560.0,0.05,3,8.0
25565.0,0.0,0,4.0
25570.0,-0.039999999999999994,3,13.0
25575.0,-0.07,7,36.0
25580.0,0.04000000000000001,9,66.0
25585.0,-0.05000000000000002,8,102.0
25590.0,0.12000000000000001,11,135.0
25595.0,0.0,9,147.0
25600.0,-0.06,8,136.0
25605.0,-0.11,3,61.0
25610.0,0.12,2,20.0
25615.0,0.010000000000000009,1,17.0
25620.0,-0.07,3,27.0
25625.0,-0.04999999999999999,2,26.0
25630.0,-0.13,4,39.0
25635.0,0.010000000000000009,3,41.0
25640.0,-0.09000000000000002,7,67.0
25645.0,-0.17999999999999994,9,102.0
25650.0,-0.27,11,154.0
25655.0,-0.32999999999999996,10,183.0
25660.0,-0.48,17,233.0
25665.0,0.17999999999999994,9,221.0
25670.0,0.5599999999999999,8,124.0
25675.0,0.54,4,85.0
25680.0,0.28,6,67.0
25685.0,-0.03,10,65.0
25690.0,0.009999999999999995,7,76.0
25695.0,0.09,6,83.0
25700.0,0.0,7,97.0
25705.0,-0.02,6,57.0
25710.0,-0.13999999999999999,6,57.0
25715.0,0.04999999999999999,4,28.0
25720.0,-0.12,6,58.0
25725.0,0.2,3,46.0
25730.0,0.05,2,35.0
25735.0,0.0,5,48.0
25740.0,0.0,1,26.0
25745.0,-0.01,1,12.0
25750.0,-0.08,5,23.0
25755.0,0.06,4,32.0
25760.0,0.03,4,12.0
25765.0,0.0,1,13.0
25770.0,-0.03,4,21.0
25775.0,-0.07,11,61.0
25780.0,-0.18000000000000002,13,101.0
25785.0,0.11000000000000001,6,81.0
25790.0,0.15000000000000002,4,82.0
25795.0,0.0,5,94.0
25800.0,-0.08,6,71.0
25805.0,0.03,4,42.0
25810.0,0.05,4,55.0
25815.0,0.0,4,77.0
25820.0,-0.05,3,45.0
25825.0,0.05,4,35.0
25830.0,0.0,2,30.0
25835.0,0.0,2,24.0
25840.0,-0.030000000000000002,2,33.0
25845.0,-0.08,5,24.0
25850.0,0.1,2,15.0
25855.0,0.009999999999999998,5,31.0
25860.0,-0.039999999999999994,6,50.0
25865.0,0.049999999999999996,3,30.0
25870.0,-0.049999999999999996,3,33.0
25875.0,-0.12,16,85.0
25880.0,0.12,6,61.0
25885.0,0.06,6,58.0
25890.0,0.0,0,43.0
25895.0,-0.04,2,15.0
25900.0,-0.1,6,32.0
25905.0,-0.14999999999999997,6,55.0
25910.0,-0.15000000000000002,5,57.0
25915.0,-0.22000000000000003,8,81.0
25920.0,0.33,2,59.0
25925.0,0.33,5,50.0
25930.0,0.0,3,46.0
25935.0,-0.02,1,28.0
25940.0,-0.039999999999999994,5,39.0
25945.0,-0.09,14,76.0
25950.0,0.09,9,107.0
25955.0,-0.04000000000000001,12,139.0
25960.0,0.1,4,119.0
25965.0,-0.08,3,40.0
25970.0,0.08,5,33.0
25975.0,-0.04,12,86.0
25980.0,-0.049999999999999996,14,143.0
25985.0,-0.06,13,182.0
25990.0,-0.04000000000000001,14,225.0
25995.0,-0.04999999999999999,6,175.0
26000.0,0.19999999999999998,9,85.0
26005.0,0.0,9,114.0
26010.0,0.0,7,136.0
26015.0,-0.07999999999999999,12,164.0
26020.0,-0.22000000000000003,20,238.0
26025.0,-0.32,20,251.0
26030.0,-0.35,21,322.0
26035.0,-0.3999999999999999,22,416.0
26040.0,0.6499999999999999,15,362.0
26045.0,0.67,12,300.0
26050.0,-0.06,9,323.0
26055.0,-0.18000000000000002,12,349.0
26060.0,-0.24999999999999994,18,351.0
26065.0,0.010000000000000009,20,390.0
26070.0,0.009999999999999898,24,441.0
26075.0,0.39,5,291.0
26080.0,0.17,8,99.0
26085.0,0.0,8,94.0
26090.0,0.0,9,98.0
26095.0,0.0,9,129.0
26100.0,0.0,14,187.0
26105.0,-0.05,18,220.0
26110.0,0.05,26,331.0
26115.0,0.0,27,417.0
26120.0,-0.03,23,473.0
26125.0,-0.07,22,558.0
26130.0,-0.13999999999999999,25,614.0
26135.0,0.06,19,553.0
26140.0,-0.010000000000000009,16,483.0
26145.0,-0.22999999999999998,8,299.0
26150.0,-0.34,19,236.0
26155.0,-0.41999999999999993,23,339.0
26160.0,-0.51,26,427.0
26165.0,-0.18999999999999995,23,425.0
26170.0,-0.030000000000000027,21,417.0
26175.0,-0.7300000000000002,24,479.0
26180.0,-1.0099999999999998,34,623.0
26185.0,0.5699999999999998,24,631.0
26190.0,1.6900000000000002,27,557.0
26195.0,0.029999999999999805,21,532.0
26200.0,0.1200000000000001,16,471.0
26205.0,0.020000000000000018,17,505.0
26210.0,1.03,12,413.0
26215.0,0.09,12,374.0
26220.0,-0.09,14,425.0
26225.0,-0.16999999999999998,20,486.0
26230.0,0.08999999999999997,17,509.0
26235.0,0.14,17,503.0
26240.0,0.0,10,513.0
26245.0,-0.04000000000000001,7,447.0
26250.0,-0.03,9,477.0
26255.0,0.08000000000000002,10,428.0
26260.0,0.0,8,450.0
26265.0,0.039999999999999994,12,402.0
26270.0,-0.11,7,333.0
26275.0,-0.01999999999999999,4,283.0
26280.0,0.0,2,153.0
26285.0,0.009999999999999981,11,177.0
26290.0,0.020000000000000018,9,208.0
26295.0,0.0,11,210.0
26300.0,0.0,15,215.0
26305.0,-0.020000000000000018,12,248.0
26310.0,0.08000000000000002,14,241.0
26315.0,-0.05000000000000002,9,221.0
26320.0,-0.06999999999999998,18,245.0
26325.0,-0.04999999999999999,19,269.0
26330.0,0.14999999999999997,16,285.0
26335.0,-0.06,17,294.0
