step_time,reward,total_stopped,total_wait_time
25205.0,0.0,0,0.0
25210.0,0.0,2,0.0
25215.0,0.0,2,3.0
25220.0,0.0,3,14.0
25225.0,0.0,5,32.0
25230.0,-0.03,9,63.0
25235.0,-0.05,12,107.0
25240.0,-0.09000000000000001,17,176.0
25245.0,-0.009999999999999981,17,249.0
25250.0,-0.10999999999999999,22,348.0
25255.0,-0.19,24,460.0
25260.0,-0.29000000000000004,24,541.0
25265.0,-0.29000000000000004,27,635.0
25270.0,-0.21999999999999997,30,753.0
25275.0,0.45000000000000007,19,692.0
25280.0,0.44999999999999996,9,415.0
25285.0,0.03999999999999998,7,438.0
25290.0,-0.2,19,502.0
25295.0,-0.04999999999999993,21,586.0
25300.0,-0.12,29,705.0
25305.0,0.42999999999999994,23,724.0
25310.0,0.28,14,735.0
25315.0,0.0,12,726.0
25320.0,0.0,14,704.0
25325.0,0.0,16,679.0
25330.0,-0.06,19,624.0
25335.0,-0.15,18,638.0
25340.0,-0.17,14,561.0
25345.0,-0.03999999999999998,14,609.0
25350.0,0.13,19,668.0
25355.0,-0.16000000000000003,24,779.0
25360.0,-0.22000000000000003,26,907.0
25365.0,-0.14,22,936.0
25370.0,-0.19999999999999996,22,958.0
25375.0,0.69,20,980.0
25380.0,0.28,18,1005.0
25385.0,0.0,15,857.0
25390.0,-0.060000000000000005,13,682.0
25395.0,-0.04999999999999999,14,638.0
25400.0,-0.04000000000000001,16,619.0
25405.0,-0.07,22,719.0
25410.0,-0.08999999999999997,24,840.0
25415.0,-0.010000000000000009,16,790.0
25420.0,-0.04999999999999999,18,716.0
25425.0,-0.09000000000000002,16,716.0
25430.0,-0.09999999999999998,12,655.0
25435.0,-0.17000000000000004,16,679.0
25440.0,-0.25,17,703.0
25445.0,0.64,10,549.0
25450.0,0.35,11,564.0
25455.0,0.0,13,626.0
25460.0,-0.020000000000000004,16,700.0
25465.0,0.030000000000000002,18,778.0
25470.0,0.0,17,870.0
25475.0,-0.009999999999999998,18,953.0
25480.0,-0.05,20,1052.0
25485.0,-0.039999999999999994,22,1153.0
25490.0,-0.15000000000000002,28,1288.0
25495.0,-0.16999999999999998,31,1434.0
25500.0,-0.2,33,1595.0
25505.0,-0.07999999999999996,34,1750.0
25510.0,-0.15000000000000002,28,1755.0
25515.0,-0.16000000000000003,29,1806.0
25520.0,-0.19999999999999996,28,1946.0
25525.0,-0.1200000000000001,28,2079.0
25530.0,-0.17999999999999994,27,2137.0
25535.0,-0.21999999999999997,24,2068.0
25540.0,-0.25,23,1898.0
25545.0,-0.25,18,1574.0
25550.0,-0.25,21,1670.0
25555.0,1.32,19,1619.0
25560.0,1.18,22,1603.0
25565.0,-0.03,23,1711.0
25570.0,-0.05,20,1775.0
25575.0,-0.05,19,1828.0
25580.0,-0.04999999999999999,21,1924.0
25585.0,-0.07,20,1996.0
25590.0,-0.09999999999999998,27,2099.0
25595.0,-0.020000000000000018,26,2190.0
25600.0,-0.09000000000000002,24,2233.0
25605.0,-0.16999999999999998,27,2359.0
25610.0,-0.19999999999999996,29,2386.0
25615.0,-0.2600000000000001,27,1927.0
25620.0,-0.2999999999999998,20,1152.0
25625.0,0.82,19,994.0
25630.0,0.5399999999999999,17,943.0
25635.0,-0.010000000000000002,17,1018.0
25640.0,-0.04,22,1125.0
25645.0,-0.05,24,1222.0
25650.0,-0.07,26,1297.0
25655.0,-0.09999999999999998,25,1416.0
25660.0,-0.21000000000000002,31,1556.0
25665.0,-0.21999999999999997,25,1556.0
25670.0,-0.27,28,1611.0
25675.0,0.43000000000000005,16,1415.0
25680.0,0.5199999999999999,8,1077.0
25685.0,0.0,8,966.0
25690.0,-0.13,11,1011.0
25695.0,-0.10999999999999999,18,1086.0
25700.0,-0.16000000000000003,25,1160.0
25705.0,-0.24999999999999994,23,1233.0
25710.0,-0.3600000000000001,25,1350.0
25715.0,-0.27,22,1416.0
25720.0,-0.4099999999999999,25,1463.0
25725.0,0.86,17,1417.0
25730.0,0.8,13,1377.0
25735.0,0.0,14,1433.0
25740.0,-0.05,19,1531.0
25745.0,-0.06,22,1606.0
25750.0,-0.12,23,1655.0
25755.0,-0.21000000000000002,28,1782.0
25760.0,-0.25,33,1934.0
25765.0,-0.25,34,2098.0
25770.0,-0.26,33,2229.0
25775.0,0.5,25,2256.0
25780.0,0.78,24,2287.0
25785.0,0.0,23,2297.0
25790.0,-0.03,21,2198.0
25795.0,-0.05,21,2283.0
25800.0,-0.15000000000000002,30,2403.0
25805.0,-0.18999999999999997,32,2404.0
25810.0,-0.2,28,2114.0
25815.0,-0.22999999999999998,25,2136.0
25820.0,-0.33999999999999997,26,2086.0
25825.0,0.43999999999999995,18,2042.0
25830.0,0.75,17,1925.0
25835.0,0.0,17,1991.0
25840.0,-0.01,17,2072.0
25845.0,-0.07,21,2118.0
25850.0,-0.13,25,2157.0
25855.0,-0.19999999999999998,25,2062.0
25860.0,-0.2,23,2176.0
25865.0,-0.20000000000000007,20,2187.0
25870.0,-0.25,17,2046.0
25875.0,0.44000000000000006,15,2043.0
25880.0,0.62,18,2051.0
25885.0,0.0,17,2132.0
25890.0,-0.01,20,2200.0
25895.0,-0.049999999999999996,18,2237.0
25900.0,-0.1,23,2345.0
25905.0,-0.15,26,2470.0
25910.0,-0.2,32,2622.0
25915.0,-0.25,25,2627.0
25920.0,-0.30000000000000004,16,2425.0
25925.0,0.53,15,2433.0
25930.0,0.53,19,2474.0
25935.0,0.0,18,2554.0
25940.0,-0.04,19,2658.0
25945.0,-0.07999999999999999,26,2765.0
25950.0,-0.16999999999999998,33,2914.0
25955.0,0.15999999999999998,33,3054.0
25960.0,0.13,29,3085.0
25965.0,0.0,25,3038.0
25970.0,-0.05,29,3170.0
25975.0,-0.14,29,3124.0
25980.0,-0.19,27,2986.0
25985.0,0.22,24,3064.0
25990.0,0.16,31,3158.0
25995.0,0.0,32,3302.0
26000.0,-0.1,39,3475.0
26005.0,-0.15,30,3428.0
26010.0,-0.19,17,3032.0
26015.0,-0.24000000000000005,17,3066.0
26020.0,-0.30999999999999994,27,3174.0
26025.0,-0.41999999999999993,30,3319.0
26030.0,-0.47,35,3475.0
26035.0,-0.5100000000000002,33,3501.0
26040.0,-0.6399999999999997,43,3652.0
26045.0,-0.6900000000000004,47,3878.0
26050.0,-0.7099999999999995,45,4087.0
26055.0,1.4999999999999996,35,3959.0
26060.0,2.04,31,3713.0
26065.0,0.16000000000000003,35,3807.0
26070.0,-0.30000000000000004,38,3979.0
26075.0,0.31000000000000005,37,4086.0
26080.0,0.36,34,4033.0
26085.0,-0.07,29,3942.0
26090.0,-0.13999999999999996,33,4022.0
26095.0,-0.2400000000000001,44,4216.0
26100.0,0.010000000000000009,40,4287.0
26105.0,-0.3799999999999999,36,4330.0
26110.0,-0.3500000000000001,43,4520.0
26115.0,-0.3599999999999999,49,4615.0
26120.0,0.5699999999999998,42,4526.0
26125.0,0.6900000000000001,42,4583.0
26130.0,-0.31999999999999995,43,4684.0
26135.0,-0.53,45,4718.0
26140.0,-0.26,49,4939.0
26145.0,-0.4099999999999999,54,5170.0
26150.0,0.7999999999999998,46,5309.0
26155.0,1.25,39,5141.0
26160.0,-0.10999999999999999,31,4705.0
26165.0,-0.25,33,4861.0
26170.0,-0.08000000000000002,43,5025.0
26175.0,-0.3999999999999999,50,5188.0
26180.0,0.07999999999999996,47,5227.0
26185.0,0.62,38,5163.0
26190.0,-0.040000000000000036,36,5006.0
26195.0,-0.08999999999999997,33,4748.0
26200.0,-0.19999999999999996,31,4837.0
26205.0,-0.27,33,4926.0
26210.0,-0.44000000000000006,44,5056.0
26215.0,0.73,36,5120.0
26220.0,0.54,33,5157.0
26225.0,0.0,30,5168.0
26230.0,-0.07,25,5126.0
26235.0,-0.05,25,5200.0
26240.0,-0.04999999999999999,30,5342.0
