episode,trainingTime,maxWaitTime,avgWaitTime,maxStopped,avgStopped,avgReward
2,0.0,1683.5,280.6407766990291,52.0,9.602635228848822,-2.080443828015864e-05
3,16.66815948486328,647.5,87.4244105409154,25.0,5.236477115117892,-3.467406380027199e-05
4,33.047059535980225,610.5,84.00832177531207,26.0,4.995839112343967,-6.934812760051265e-06
5,48.90049147605896,497.5,62.16019417475729,21.5,4.237864077669903,-1.386962552010813e-05
6,64.80947422981262,286.0,54.96116504854369,16.5,4.164355062413315,-4.1608876560330125e-05
7,80.68791818618774,359.5,55.1879334257975,19.0,4.053398058252427,-6.934812760051982e-06
8,100.27397918701172,131342.0,38155.620665742026,91.0,40.32316227461859,-1.8188488210818305
9,115.93085289001465,1058.5,117.14077669902912,27.0,6.172676837725382,-1.3869625520105464e-05
10,136.68898487091064,139705.5,41754.58876560333,93.5,43.4625520110957,-1.9327531206657422
11,154.58826398849487,66860.5,26132.908460471568,44.5,22.947295423023576,6.236342926119118e-18
12,173.12061882019043,51525.5,25514.759361997225,68.0,23.731622746185856,-4.8543689320380235e-05
13,191.23759651184082,54758.0,26442.81622746186,38.5,19.731622746185852,5.04296866247904e-18
14,207.74711155891418,51365.5,24794.280859916784,30.0,17.26490984743412,-1.38696255201079e-05
15,222.47876596450806,49703.0,24038.37725381415,32.5,17.386962552011095,-1.3869625520106716e-05
16,237.09221172332764,51427.0,24826.45977808599,30.0,17.401525658807213,2.605694208714122e-18
17,251.61785078048706,51406.0,24796.028432732317,35.5,17.49375866851595,-4.854368932038493e-05
18,265.77070236206055,47169.0,20832.81276005548,31.5,16.273231622746188,-1.3869625520109045e-05
19,280.1562714576721,51135.0,24549.77045769764,33.0,17.936893203883496,-0.0002496532593619935
20,294.88727593421936,54874.0,26404.759361997225,41.0,19.107489597780862,3.3202751689986045e-18
21,309.3815360069275,44240.5,20429.731622746185,26.0,15.03606102635229,-2.7739251040219608e-05
22,324.16248869895935,57434.0,23647.981969486824,36.0,19.59778085991678,-2.773925104021957e-05
23,338.4765009880066,44141.5,20357.86615811373,30.5,15.34257975034674,2.7717079671640527e-18
24,352.6778326034546,40964.0,17483.18585298197,27.5,14.357142857142858,1.7515654514717275e-18
25,366.7557382583618,43806.5,19286.457697642163,28.0,15.46393897364771,3.0026836310943903e-18
26,381.1117134094238,50118.5,17382.245492371705,34.5,17.391816920943135,-0.0002912621359223258
27,398.31185960769653,43494.5,22178.911927877947,32.5,16.604022191400833,-6.9348127600507066e-06
28,411.7510666847229,2681.0,263.68099861303745,20.0,6.273925104022192,-0.00010402219140082903
29,425.0217134952545,744.5,96.76976421636616,25.0,5.096393897364771,3.0796755190711695e-18
30,439.5414535999298,1012.0,85.9126213592233,17.5,4.516643550624133,-0.00014563106796116351
31,455.9628891944885,1040.5,115.43619972260748,23.0,4.9375866851595,-1.3869625520109451e-05
32,472.3452887535095,1638.5,276.90568654646324,22.5,7.581137309292649,-1.3869625520106167e-05
33,488.3063054084778,603.5,64.96116504854369,16.5,4.10124826629681,3.724482580876695e-18
34,503.77730774879456,359.5,48.204576976421635,16.0,3.7108183079056865,-1.3869625520108908e-05
35,517.0490658283234,219.5,40.866851595006935,14.5,3.573509015256588,-1.3869625520108449e-05
36,530.4783201217651,466.5,69.54230235783635,21.0,4.527739251040222,-1.3869625520108689e-05
37,546.6369051933289,247.0,46.04091539528433,17.0,3.6927877947295427,-1.386962552010825e-05
38,562.9227170944214,271.0,41.78918169209432,15.0,3.6005547850208046,2.7789259566618757e-18
39,579.01735496521,183.0,34.131761442441054,14.0,3.1803051317614424,-1.3869625520108255e-05
40,594.6505734920502,332.5,46.36893203883495,17.5,3.6712898751733705,-6.934812760051832e-06
41,610.7326993942261,306.5,45.80305131761442,18.5,3.6054091539528432,-2.0804438280162738e-05
42,626.9519505500793,474.5,60.88002773925104,19.0,4.124826629680999,-6.934812760052308e-06
43,642.5881772041321,377.0,52.39320388349515,17.5,3.7926490984743415,3.1759153790421435e-18
44,656.3270983695984,219.0,40.092233009708735,19.5,3.393897364771151,-6.241331484049652e-05
45,670.6878957748413,218.5,44.73439667128987,17.5,3.6997226074895977,2.9834356591001955e-18
46,685.6187243461609,733.5,66.46255201109571,23.0,4.312066574202497,-5.547850208043986e-05
47,699.3322548866272,378.0,48.48890429958391,17.0,3.599167822468793,-6.934812760052395e-06
48,713.3287177085876,245.0,39.133148404993065,17.0,3.30374479889043,-4.160887656033094e-05
49,726.4183769226074,206.0,37.83287101248266,13.5,3.315533980582524,3.868842370833156e-18
