step_time,reward,total_stopped,total_wait_time
25205.0,0.0,0,0.0
25210.0,0.0,2,0.0
25215.0,0.0,1,0.0
25220.0,0.0,0,0.0
25225.0,0.0,1,0.0
25230.0,0.0,2,0.0
25235.0,0.0,1,0.0
25240.0,0.0,6,14.0
25245.0,0.0,5,25.0
25250.0,-0.07,2,15.0
25255.0,-0.13,3,20.0
25260.0,0.06,6,24.0
25265.0,0.030000000000000013,4,33.0
25270.0,0.009999999999999995,2,26.0
25275.0,0.010000000000000009,4,21.0
25280.0,0.0,3,26.0
25285.0,0.049999999999999996,6,42.0
25290.0,0.0,10,86.0
25295.0,0.0,5,96.0
25300.0,0.0,5,83.0
25305.0,0.0,2,64.0
25310.0,0.0,2,13.0
25315.0,0.0,8,43.0
25320.0,0.0,8,84.0
25325.0,0.02,9,112.0
25330.0,0.0,12,160.0
25335.0,-0.039999999999999994,2,72.0
25340.0,0.039999999999999994,1,8.0
25345.0,-0.02,3,23.0
25350.0,-0.07,4,31.0
25355.0,0.0,3,33.0
25360.0,0.0,3,47.0
25365.0,0.0,1,28.0
25370.0,0.0,5,38.0
25375.0,0.0,1,21.0
25380.0,-0.05,3,36.0
25385.0,0.05,3,33.0
25390.0,-0.030000000000000013,7,44.0
25395.0,0.020000000000000018,6,63.0
25400.0,-0.05000000000000002,5,78.0
25405.0,0.06000000000000001,5,92.0
25410.0,0.0,10,134.0
25415.0,0.0,6,98.0
25420.0,0.0,7,85.0
25425.0,0.0,5,73.0
25430.0,0.11,6,91.0
25435.0,-0.08,5,89.0
25440.0,-0.09999999999999999,4,66.0
25445.0,0.15,4,70.0
25450.0,0.0,3,77.0
25455.0,0.0,3,51.0
25460.0,0.0,3,37.0
25465.0,0.0,3,39.0
25470.0,0.0,2,14.0
25475.0,0.0,2,20.0
25480.0,0.0,3,36.0
25485.0,-0.03,5,56.0
25490.0,0.03,3,37.0
25495.0,-0.010000000000000002,5,58.0
25500.0,0.04,6,78.0
25505.0,0.0,4,86.0
25510.0,0.0,4,81.0
25515.0,0.0,4,92.0
25520.0,-0.04,4,111.0
25525.0,0.04,1,39.0
25530.0,0.0,1,4.0
25535.0,0.0,0,2.0
25540.0,0.0,4,11.0
25545.0,0.0,6,38.0
25550.0,-0.02,6,59.0
25555.0,0.02,7,86.0
25560.0,0.0,12,132.0
25565.0,0.0,10,165.0
25570.0,0.0,12,223.0
25575.0,0.0,13,275.0
25580.0,0.0,13,335.0
25585.0,-0.03,14,403.0
25590.0,-0.05,18,476.0
25595.0,0.08,17,548.0
25600.0,-0.04,13,587.0
25605.0,0.02,12,638.0
25610.0,0.0,13,700.0
25615.0,0.0,13,758.0
25620.0,0.0,13,824.0
25625.0,0.0,14,875.0
25630.0,0.0,12,936.0
25635.0,-0.030000000000000002,14,998.0
25640.0,0.0,12,1058.0
25645.0,0.030000000000000002,14,1119.0
25650.0,0.0,12,1175.0
25655.0,0.0,12,1235.0
25660.0,-0.009999999999999998,13,1296.0
25665.0,-0.05,14,1361.0
25670.0,0.08,13,1418.0
25675.0,0.0,13,1472.0
25680.0,0.0,13,1539.0
25685.0,0.0,13,1604.0
25690.0,0.0,14,1657.0
25695.0,-0.01,15,1724.0
25700.0,-0.060000000000000005,15,1789.0
25705.0,0.05,14,1837.0
25710.0,-0.039999999999999994,15,1911.0
25715.0,0.06,13,1959.0
25720.0,-0.02,13,2019.0
25725.0,0.02,13,2078.0
25730.0,0.0,16,2150.0
25735.0,0.0,13,2215.0
25740.0,0.0,12,2257.0
25745.0,-0.02,16,2318.0
25750.0,0.02,15,2388.0
25755.0,0.0,13,2444.0
25760.0,0.0,16,2513.0
25765.0,0.0,12,2555.0
25770.0,0.0,15,2623.0
25775.0,0.0,13,2684.0
25780.0,0.0,16,2748.0
25785.0,0.0,14,2807.0
25790.0,0.0,14,2857.0
25795.0,0.0,14,2920.0
25800.0,0.0,15,2985.0
25805.0,0.0,12,3042.0
25810.0,0.0,13,3098.0
25815.0,0.0,12,3153.0
25820.0,0.0,13,3214.0
25825.0,-0.06,15,3280.0
25830.0,-0.1,16,3352.0
25835.0,0.16,15,3405.0
25840.0,-0.01,13,3461.0
25845.0,0.0,16,3531.0
25850.0,-0.03,15,3593.0
25855.0,0.03,15,3642.0
25860.0,-0.019999999999999997,14,3705.0
25865.0,0.03,16,3770.0
25870.0,-0.05,15,3839.0
25875.0,0.05,14,3884.0
25880.0,0.0,16,3944.0
25885.0,0.0,16,4021.0
25890.0,0.0,14,4081.0
25895.0,0.0,14,4130.0
25900.0,0.0,12,4179.0
25905.0,0.0,16,4246.0
25910.0,0.0,15,4315.0
25915.0,0.0,13,4374.0
25920.0,0.0,14,4440.0
25925.0,-0.02,20,4524.0
25930.0,-0.09999999999999999,18,4604.0
25935.0,0.12,13,4615.0
25940.0,0.0,13,4680.0
25945.0,0.0,18,4751.0
25950.0,-0.06,23,4841.0
25955.0,0.06,16,4869.0
25960.0,0.0,14,4927.0
25965.0,-0.02,16,5003.0
25970.0,-0.06999999999999999,19,5079.0
25975.0,0.049999999999999996,18,5130.0
25980.0,0.04,17,5191.0
25985.0,-0.02,18,5271.0
25990.0,-0.05,17,5290.0
25995.0,0.030000000000000006,18,5356.0
26000.0,0.0,19,5430.0
26005.0,0.0,15,5480.0
26010.0,-0.030000000000000006,14,5519.0
26015.0,-0.16999999999999998,17,5599.0
26020.0,0.19,18,5650.0
26025.0,-0.09000000000000001,20,5731.0
26030.0,-0.10999999999999999,18,5783.0
26035.0,0.09,16,5843.0
26040.0,0.04000000000000001,19,5915.0
26045.0,-0.11000000000000001,24,6010.0
26050.0,-0.07999999999999999,22,6072.0
26055.0,0.16999999999999998,18,6125.0
26060.0,-0.009999999999999981,16,6163.0
26065.0,-0.06,23,6245.0
26070.0,0.07999999999999999,17,6305.0
26075.0,0.07,18,6351.0
26080.0,0.03,19,6397.0
26085.0,0.0,20,6472.0
26090.0,0.009999999999999998,13,6495.0
26095.0,-0.02,18,6536.0
26100.0,0.0,15,6604.0
26105.0,-0.049999999999999996,17,6660.0
26110.0,-0.06,18,6731.0
26115.0,-0.13000000000000003,22,6822.0
26120.0,0.17000000000000004,15,6866.0
26125.0,0.06,15,6902.0
26130.0,0.0,15,6973.0
26135.0,-0.05,20,7045.0
26140.0,0.010000000000000009,24,7145.0
26145.0,-0.14,22,7250.0
26150.0,0.04000000000000001,17,7274.0
26155.0,0.03,14,7291.0
26160.0,0.01999999999999999,20,7359.0
26165.0,0.0,21,7442.0
26170.0,0.0,19,7508.0
26175.0,-0.06,19,7576.0
26180.0,-0.07,23,7672.0
26185.0,-0.06,26,7784.0
26190.0,0.06,23,7857.0
26195.0,0.060000000000000026,19,7867.0
26200.0,-0.04000000000000001,16,7886.0
26205.0,0.0,18,7956.0
26210.0,0.0,18,8012.0
26215.0,0.0,18,8049.0
26220.0,0.0,14,8079.0
26225.0,0.0,17,8127.0
26230.0,0.07999999999999999,14,8172.0
26235.0,0.020000000000000018,14,8213.0
26240.0,-0.04000000000000001,15,8283.0
26245.0,0.04000000000000001,14,8337.0
26250.0,0.0,12,8402.0
26255.0,0.06,16,8456.0
26260.0,0.06,15,8510.0
26265.0,0.0,19,8587.0
26270.0,-0.010000000000000002,17,8665.0
26275.0,0.02,15,8703.0
26280.0,0.0,18,8769.0
26285.0,0.0,23,8872.0
26290.0,0.0,18,8937.0
26295.0,-0.02,17,8981.0
26300.0,0.0,20,9069.0
26305.0,0.0,20,9145.0
26310.0,0.0,18,9167.0
26315.0,-0.019999999999999997,13,9197.0
26320.0,-0.05,22,9293.0
26325.0,-0.13,26,9430.0
26330.0,0.13999999999999999,19,9466.0
26335.0,-0.06,15,9493.0
26340.0,0.04000000000000001,15,9542.0
26345.0,-0.04000000000000001,17,9612.0
26350.0,-0.01999999999999999,17,9698.0
26355.0,-0.05000000000000002,15,9736.0
